계층,파생출처,키워드,월간검색량,가게노출여부
1,-,시청고기집,680,X
2,시청고기집,시청 고기집,680,X
3,시청 고기집,부산시청 고기집,1840,X
3,시청 고기집,시청역 고기집,640,X
3,시청 고기집,부산시청 항정살 고기집,450,X
3,시청 고기집,부산시청 목살 고기집,430,X
3,시청 고기집,부산시청 육회 고기집 추천,420,X
3,시청 고기집,부산시청 육회 고기집,410,X
3,시청 고기집,부산시청 근처 목살 고기집,400,X
3,시청 고기집,부산시청 주변 목살 고기집,400,X
3,시청 고기집,부산시청 근처 육회 고기집,370,X
3,시청 고기집,부산시청 주변 육회 고기집,370,X
2,시청고기집,제주시청 고기집,1660,X
3,제주시청 고기집,제주시청 근처 고기집,930,X
3,제주시청 고기집,제주시청 고기집 추천,920,X
3,제주시청 고기집,제주시청 주변 고기집,650,X
3,제주시청 고기집,제주시청 인근 고기집,310,X
3,제주시청 고기집,제주시청 고기집 맛집,310,X
3,제주시청 고기집,제주시청 맛집,11240,X
3,부산시청 고기집,부산시청 항정살 고기집 추천,390,X
3,부산시청 고기집,부산시청 목살 고기집 추천,100,X
2,시청고기집,부천시청 고기집,490,X
3,부천시청 고기집,부천시청역 고기집,290,X
3,부천시청 고기집,부천시청 맛집,9390,X
2,시청고기집,대전 시청 고기집,420,X
3,대전 시청 고기집,대전 시청역 고기집,230,X
3,대전 시청 고기집,대전 시청 맛집,7930,X
2,시청고기집,오산시청 고기집,220,X
3,오산시청 고기집,오산시청 맛집,3040,X
2,시청고기집,하남시청 고기집,140,X
2,시청고기집,인천시청 고기집,200,X
2,시청고기집,화성시청 고기집,200,X
3,화성시청 고기집,화성시청 맛집,4390,X
2,시청고기집,서울시청 고기집,180,X
1,-,시청뒷고기,90,O
